*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCBpedalv3
*Date=10:52:31
*CreatedBy=Fritzing 0.8.7b.01.24.1bf5
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
103;;;6.6421;-33.4252;0;Bottom;Copper Fill86
104;;;32.585;-17.0364;0;Bottom;Via3
105;;;30.3022;-31.6218;0;Bottom;Copper Fill51
106;;THT;47.8863;-22.6944;0;Bottom;J3
107;;;28.0289;-30.809;0;Bottom;Copper Fill88
108;;;40.7416;-27.888;0;Bottom;Copper Fill53
109;1nF;1206 [SMD, multilayer];44.0293;-30.2508;0;Top;C15
110;;;4.2926;-15.0991;0;Bottom;Copper Fill10
111;;;13.843;-8.203;0;Bottom;Via18
112;;;28.575;-31.3551;0;Bottom;Copper Fill89
113;;;22.0218;-2.3483;0;Bottom;Copper Fill39
114;;;48.3104;-2.0693;0;Bottom;Hole4
115;;;42.545;-12.0003;0;Bottom;Copper Fill91
116;;;38.611;-27.1087;0;Bottom;Via11
117;;;18.923;-33.1331;0;Bottom;Copper Fill93
118;220;1206 [SMD];43.3057;-13.4993;90;Top;R3
119;;;9.2329;-21.2586;0;Bottom;Copper Fill29
120;;;46.5582;-24.0272;0;Bottom;Copper Fill5
121;10µF;0405 [SMD, electrolytic];13.6308;-4.03374;-90;Top;C14
122;;;25.2476;-23.3668;0;Bottom;Copper Fill3
123;100nF;1206 [SMD, multilayer];19.165;-18.5482;90;Top;C17
124;0.1µF;1206 [SMD, multilayer];19.5464;-4.91091;180;Top;C12
125;;;37.7825;-26.4402;0;Bottom;Copper Fill73
126;;;13.843;-13.029;0;Bottom;Via19
127;0.1µF;1206 [SMD, multilayer];26.8502;-33.127;180;Top;C4
128;;;42.8244;-33.2347;0;Bottom;Copper Fill75
129;;;23.9141;-26.2116;0;Bottom;Copper Fill107
130;;ssop28db;21.2706;-10.8359;180;Top;ft232
131;;;33.7312;-15.8103;0;Bottom;Copper Fill109
132;;;13.843;-20.4331;0;Bottom;Copper Fill95
133;;;13.2334;-8.2919;0;Bottom;Copper Fill111
134;;;37.6613;-20.7279;0;Bottom;Via7
135;;;19.685;-28.3071;0;Bottom;Copper Fill15
136;;;13.8049;-12.5464;0;Bottom;Copper Fill97
137;;;34.2773;-15.2642;0;Bottom;Copper Fill32
138;;;13.7414;-31.3551;0;Bottom;Copper Fill36
139;;;24.1681;-6.679;0;Bottom;Copper Fill113
140;200k;1206 [SMD];34.7377;-28.9462;90;Top;R2
141;;;18.669;-25.8052;0;Bottom;Copper Fill55
142;;;2.4257;-23.8494;0;Bottom;Copper Fill99
143;;;21.0693;-1.472;0;Bottom;Copper Fill38
144;;;37.7317;-23.3414;0;Bottom;Copper Fill8
145;;;13.7414;-31.3551;0;Bottom;Copper Fill115
146;;;43.5864;-21.8174;0;Bottom;Copper Fill57
147;;;33.4312;-18.0143;0;Bottom;Via2
148;;;34.4401;-23.6525;0;Bottom;Via23
149;1k;1206 [SMD];34.5698;-2.43692;0;Top;R6
150;;;21.5773;-15.1372;0;Bottom;Copper Fill101
151;;;13.2969;-21.0046;0;Bottom;Copper Fill21
152;;THT;36.4343;-9.96548;180;Bottom;XTAL1
153;;;8.636;-25.1702;0;Bottom;Copper Fill59
154;;;14.224;-5.9043;0;Bottom;Copper Fill103
155;0.1µF;1206 [SMD, multilayer];30.1375;-25.2009;90;Top;C9
156;;;42.6974;-13.3719;0;Bottom;Copper Fill105
157;22pF;1206 [SMD, multilayer];45.5263;-10.3694;-90;Top;C2
158;;;28.0924;-20.0902;0;Bottom;Copper Fill61
159;;;2.63134;-2.22876;0;Bottom;Hole3
160;;;43.3087;-13.3129;0;Bottom;Via21
161;;;20.9042;-18.6678;0;Bottom;Copper Fill63
162;;;7.874;-11.7082;0;Bottom;Copper Fill68
163;;;17.2974;-32.9426;0;Bottom;Copper Fill44
164;;;29.9085;-1.4466;0;Bottom;Copper Fill41
165;;;11.6586;-14.0704;0;Bottom;Copper Fill65
166;;;19.6342;-4.6216;0;Bottom;Copper Fill70
167;;;26.8478;-33.0442;0;Bottom;Copper Fill46
168;;;31.6171;-30.8586;0;Bottom;TXT1
169;;;33.4137;-33.7046;0;Bottom;Copper Fill78
170;;;12.5476;-32.1806;0;Bottom;Copper Fill43
171;;;40.6908;-32.9934;0;Bottom;Copper Fill48
172;;;28.3337;-33.6792;0;Bottom;Copper Fill80
173;200k;1206 [SMD];19.0513;-30.5863;180;Top;R1
174;10µF;0405 [SMD, electrolytic];12.3433;-18.6406;0;Top;C13
175;;;46.1518;-12.0003;0;Bottom;Copper Fill82
176;;;33.7312;-15.8103;0;Bottom;Copper Fill33
177;;;43.2689;-13.918;0;Bottom;Copper Fill26
178;;;28.575;-31.3551;0;Bottom;Copper Fill13
179;;THT;19.8614;-2.28285;90;Bottom;J5
180;0.1µF;1206 [SMD, multilayer];18.7657;-28.016;180;Top;C10
