*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCBpedalv0.4
*Date=19:24:57
*CreatedBy=Fritzing 0.8.7b.01.24.1bf5
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
102;;;28.0669;-31.317;0;Bottom;Via13
103;;;13.1572;-27.5324;0;Bottom;Copper Fill63
104;;;24.3501;-22.454;0;Bottom;Via26
105;;;4.2926;-15.0991;0;Bottom;Copper Fill101
106;;;4.7117;-1.7768;0;Bottom;Copper Fill89
107;;;7.874;-11.7082;0;Bottom;Copper Fill73
108;;;37.6613;-20.7279;0;Bottom;Via7
109;10nF;1206 [SMD, multilayer];12.2268;-14.9186;180;Top;C19
110;;;26.4668;-23.4938;0;Bottom;Copper Fill65
111;1M;1206 [SMD];21.7801;-18.5046;-90;Top;R5
112;;;13.843;-20.4331;0;Bottom;Copper Fill103
113;;;5.6896;-32.4727;0;Bottom;Copper Fill91
114;;;15.5956;-6.6028;0;Bottom;Copper Fill75
115;1nF;1206 [SMD, multilayer];44.0293;-30.2508;0;Top;C15
116;;;43.2689;-13.918;0;Bottom;Copper Fill31
117;;;1.0922;-10.3239;0;Bottom;Copper Fill105
118;;;28.575;-31.3551;0;Bottom;Copper Fill93
119;22pF;1206 [SMD, multilayer];45.5262;-10.3695;-90;Top;C2
120;;;2.63134;-2.22876;0;Bottom;Hole3
121;;;13.2334;-13.1179;0;Bottom;Copper Fill107
122;;;37.7317;-24.459;0;Bottom;Copper Fill8
123;;;42.545;-12.0003;0;Bottom;Copper Fill95
124;;;2.4257;-20.8776;0;Bottom;Copper Fill109
125;;;21.5773;-15.1372;0;Bottom;Copper Fill111
126;;;32.5882;-26.5926;0;Bottom;Copper Fill2
127;;;28.5242;-11.7971;0;Bottom;Copper Fill97
128;;;13.7668;-6.3615;0;Bottom;Copper Fill113
129;;;11.3284;-1.599;0;Bottom;Copper Fill79
130;;;34.44;-23.6525;0;Bottom;Via23
131;;;27.9273;-24.4082;0;Bottom;Copper Fill23
132;;;43.815;-13.3719;0;Bottom;Copper Fill115
133;;;42.2021;-33.7554;0;Bottom;Copper Fill81
134;;;19.1769;-28.269;0;Bottom;Via16
135;;;34.2773;-16.3818;0;Bottom;Copper Fill117
136;;;22.0218;-2.3483;0;Bottom;Copper Fill44
137;;;38.2778;-23.8875;0;Bottom;Copper Fill10
138;;;14.0337;-27.1608;0;Bottom;Via10
139;;THT;47.8863;-22.6944;0;Bottom;J3
140;;;24.3205;-21.9698;0;Bottom;Copper Fill119
141;;;39.1541;-1.3196;0;Bottom;Copper Fill46
142;;;32.585;-17.0364;0;Bottom;Via3
143;0.1µF;1206 [SMD, multilayer];19.5463;-4.91095;180;Top;C12
144;;;42.8244;-33.2347;0;Bottom;Copper Fill82
145;;;43.2689;-12.8258;0;Bottom;Copper Fill32
146;;;14.4018;-9.0539;0;Bottom;Copper Fill121
147;;;34.544;-20.5474;0;Bottom;Copper Fill68
148;;;12.5476;-32.1806;0;Bottom;Copper Fill48
149;0.1µF;1206 [SMD, multilayer];26.8502;-33.127;180;Top;C4
150;;;13.2334;-13.1179;0;Bottom;Copper Fill21
151;;;34.925;-23.6843;0;Bottom;Copper Fill84
152;;;9.2329;-21.2586;0;Bottom;Copper Fill34
153;;;23.5077;-7.8474;0;Bottom;Copper Fill123
154;;;37.1602;-16.7882;0;Bottom;Copper Fill70
155;;soic8;24.5814;-27.9833;0;Top;IC2
156;;;21.1582;-32.9426;0;Bottom;Copper Fill50
157;;;34.3789;-21.8682;0;Bottom;Copper Fill86
158;;;27.3558;-23.8367;0;Bottom;Copper Fill24
159;;;39.1541;-1.3196;0;Bottom;Copper Fill125
160;;;35.0266;-32.841;0;Bottom;Copper Fill52
161;;;28.575;-31.3551;0;Bottom;Copper Fill14
162;;;13.2969;-21.0046;0;Bottom;Copper Fill26
163;;;24.1681;-6.679;0;Bottom;Copper Fill127
164;;;45.2628;-31.317;0;Bottom;Copper Fill54
165;;;19.6342;-4.6216;0;Bottom;Copper Fill77
166;;;2.4257;-11.8098;0;Bottom;Copper Fill27
167;;;13.8429;-13.029;0;Bottom;Via19
168;0.1µF;1206 [SMD, multilayer];24.6657;-18.5499;90;Top;C20
169;22pF;1206 [SMD, multilayer];29.2912;-10.1521;-90;Top;C1
170;;;1.0922;-10.3239;0;Bottom;Copper Fill29
171;10µF;0405 [SMD, electrolytic];13.1859;-4.47863;-90;Top;C14
172;;;26.5206;-29.0048;0;Bottom;Via6
173;100nF;1206 [SMD, multilayer];19.165;-18.5482;90;Top;C17
174;0.1µF;1206 [SMD, multilayer];30.1375;-25.2009;90;Top;C9
175;;;17.9324;-21.8428;0;Bottom;Copper Fill66
176;;THT;37.9542;-1.95436;89;Bottom;LED
177;;tqfp;34.8344;-18.0737;-90;Top;atmega
178;;;48.1611;-32.81;0;Bottom;Hole2
179;10k;1206 [SMD];16.6927;-18.5039;-90;Top;R4
180;;;28.0289;-30.809;0;Bottom;Copper Fill13
181;;;37.7317;-23.3414;0;Bottom;Copper Fill9
182;;;37.7739;-23.847;0;Bottom;Via22
183;;;30.3022;-31.6218;0;Bottom;Copper Fill56
184;;;14.3509;-31.317;0;Bottom;Via15
185;;;40.7416;-27.888;0;Bottom;Copper Fill58
186;;;33.7312;-15.8103;0;Bottom;Copper Fill38
187;;;18.5674;-28.3071;0;Bottom;Copper Fill15
188;;;26.4856;-26.8396;0;Bottom;Via9
189;;THT;36.4344;-9.96549;180;Bottom;XTAL1
190;;;14.3129;-30.809;0;Bottom;Copper Fill40
191;;;28.2448;-2.361;0;Bottom;Copper Fill6
192;;;33.4311;-18.0143;0;Bottom;Via2
193;1k;1206 [SMD];44.4115;-5.93452;-180;Top;R6
194;0.1µF;1206 [SMD, multilayer];18.7657;-28.016;180;Top;C10
195;;;8.6614;-20.6871;0;Bottom;Copper Fill36
