*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCBpedalv2
*Date=19:15:27
*CreatedBy=Fritzing 0.8.7b.01.24.1bf5
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
103;;;27.5082;-19.76;0;Bottom;Copper Fill33
104;270;1206 [SMD];39.8999;-12.6017;0;Top;R5
105;;;27.993;-2.69047;0;Bottom;Via8
106;;;35.4076;-29.6914;0;Bottom;Copper Fill2
107;;;21.4637;-15.956;0;Bottom;Via1
108;200k;1206 [SMD];45.9834;-14.3227;180;Top;R2
109;1nF;1206 [SMD, multilayer];44.0293;-30.2508;0;Top;C15
110;0.1µF;1206 [SMD, multilayer];26.4613;-32.8942;180;Top;C4
111;0.1µF;1206 [SMD, multilayer];35.6391;-18.7095;0;Top;C8
112;;usb-b-pth;2.54781;-16.2804;0;Bottom;U1
113;;;28.067;-21.5126;0;Bottom;Copper Fill34
114;;;29.4165;-20.6448;0;Bottom;Via27
115;;;2.59522;-32.7998;0;Bottom;Hole1
116;;;39.6748;-28.3706;0;Bottom;Copper Fill28
117;;;35.9537;-33.5522;0;Bottom;Copper Fill68
118;;;29.5235;-25.9298;0;Bottom;Via18
119;;;45.3136;-21.1316;0;Bottom;Copper Fill30
120;;;39.1033;-18.9472;0;Bottom;Copper Fill70
121;;;18.5238;-21.8815;0;Bottom;Via11
122;;;22.0358;-11.3003;0;Bottom;Via4
123;;;24.0792;-4.6851;0;Bottom;Copper Fill72
124;10µF;0605 [SMD, electrolytic];13.4108;-20.3244;0;Top;C11
125;;;30.2133;-18.744;0;Bottom;Copper Fill73
126;;;43.2562;-10.2096;0;Bottom;Copper Fill40
127;;THT;47.9577;-7.24378;180;Bottom;J4
128;;;24.0792;-4.0247;0;Bottom;Copper Fill75
129;22pF;1206 [SMD, multilayer];3.6439;-26.7883;180;Top;C2
130;;;23.4105;-27.0394;0;Bottom;Via30
131;;;18.8214;-17.5248;0;Bottom;Copper Fill42
132;;;28.829;-28.1674;0;Bottom;Copper Fill3
133;;;48.3104;-2.0693;0;Bottom;Hole4
134;;;25.4731;-17.2814;0;Bottom;Via23
135;;;13.1318;-24.1542;0;Bottom;Copper Fill5
136;;;46.3296;-3.7326;0;Bottom;Copper Fill44
137;;;30.03;-21.7643;0;Bottom;Via21
138;;;43.9766;-27.4873;0;Bottom;Via14
139;;;29.0186;-5.40842;0;Bottom;Via7
140;adjustable;sot223;7.08604;-5.48602;0;Top;IC5
141;10µF;0605 [SMD, electrolytic];15.3601;-4.55559;0;Top;C14
142;;;3.9116;-10.3239;0;Bottom;Copper Fill16
143;33pF;1206 [SMD, multilayer];40.8907;-16.1027;0;Top;C7
144;220;1206 [SMD];33.1686;-7.58617;90;Top;R4
145;;THT;21.5533;-2.77363;0;Bottom;J5
